#	0xc3c3c3
of	/
manual_publish_description	Buildings must <b>manually</b> be made available when they have been processed.
auto_publish_description	Buildings will <b>automatically</b> be made available when they have been processed.
All checklists	All checklists
Downloading checklists	Downloading checklists
The project has been locked. Contact Dalux.	The project has been locked. Contact Dalux.
The project has been locked. Contact project administrator.	The project has been locked. Contact project administrator.
Account expired (admin)	Trial period has expired.
Account expired (user)	Trial period has expired. Contact project administrator.
My Dalux Field project has been locked ({0})	My Dalux Field project {0} has been locked
Best regards	Best regards
My Dalux Field project {0} has expired	My Dalux Field project {0} has expired
Trial expired	Trial expired
Trial expires today	Trial expires today
Trial expires tomorrow	Trial expires tomorrow
Trial expires in {0} days	Trial expires in {0} days
Upgrade	Upgrade
Project has been archived	Project has been archived
I would like to upgrade my Dalux Field project {0}	I would like to end the trial period and upgrade my Dalux Field project {0}.
Attachment added	Attachment added
Attachment	Attachment
View (verb)	View
Create levels from {0}	Create levels from {0}
Level creation	Level creation
Create new levels from IFC files	Create new levels from IFC file
Existing levels	Existing levels
Units	Units
Unit price	Unit price
Billing	Billing
The building does not exist anymore.	The building does not exist anymore.
Invoice header {projectname}	Dalux Field for {0}
Case no {projectnumber}	Case No.: {0}
Period {start to end date}	Period: {0}
Invoice Att {note}	Att: {0}
Invoice Note {note}	Note: {0}
Do you want to save the changes?	Do you want to save the changes?
Don't save	Don't save
Project number	Project number
Project language	Project language
Attention to on invoice	Attention to on invoice
Note on invoice	Note on invoice
Payment agreement	Company profile
Company profile	Company profile
1 license	1 license
{0} licenses	{0} licenses
Months	Months
months	months
Month	Month
User licenses	User licenses
Billing cycle	Billing cycle
Next invoice	Next invoice
Project status	Project status
Payment information	Payment information
Invoice history	Invoice history
Company list	Company list
Invoice email	Invoice email
Default project language	Default project language
Unused licenses	Unused licenses
Administrators	Administrators
Template project	Template project
Open invoice	Open invoice
Delete license	Delete license
Delete user	Delete user
Historical data	Historical data
Project invoice information	Project invoice information
Company profile invoice information	Company invoice information
Task creators	Task creators
Show invoice	Show invoice
Photo removed	Photo removed
Information removed	Information removed
Information added	Information added
Field added	Field added
Field removed	Field removed
Field updated	Field updated
Information updated	Information updated
previous value	previous value
Connecting to Windows viewer	Connecting to Windows viewer
You can't remove yourself from the project	You can't remove yourself from the project
Remove association	Remove association
No organization has been set	No organization has been set
New trial project	New trial project
Heading	Heading
Level name	Level name
Display 3D	Display 3D
References	References
Edit drawing	Edit drawing
Show photo	Show photo
No additional licenses required	No additional licenses required
{0} additional licenses required	{0} additional licenses required
Usage period	Usage period
Subscription period	Subscription
Invoice usage period	Usage period
Subscriptions	Subscriptions
License	License
License discount	Discount, shared company license
Add to favorites	Add to favorites
Remove from favorites	Remove from favorites
One additional license required	One additional license required
Required field	Required field
Please fill the required fields	Please fill the required fields
Show license agreement	Show license agreement
Accept license agreement	Accept license agreement
Users to be activated	Users to be activated
Users to be deleted	Users to be deleted
You must accept the license agreement in order to proceed	You must accept the license agreement in order to proceed
Select site manager	Select site manager
Create project	Create project
Create a new project	Create a new project
Enter invoice information	Enter invoice information
da-dk_LicenseAgreementsURL	http://field.dalux.com/manual/Dalux%20Field%20bruger%20forretningsbetingelser.pdf
en-us_LicenseAgreementsURL	http://field.dalux.com/manual/Dalux%20Field%20End-user%20License%20Agreement.pdf
License log	License log
Standard project	Standard project
Identification fields	Identification fields
Edit help text	Edit help text
Has license	Has license
Choose standard project	Choose standard project
DaluxUpdateText	Dalux Field has been updated. \nWe strongly recommend you to press the Refresh button in order to use the newest version.
Licensed users	Licensed users
Unlicensed users	Unlicensed users
New Dalux Field version	New Dalux Field version
Be aware that non-licensed users will be deleted from the project.	Be aware that non-licensed users will be deleted from the project.
Are you sure you want to delete these users from the project?	Are you sure you want to delete these users from the project?
Do not show again	Do not show again
Dalux Field is updated	Dalux Field is updated
{0} licenses are requested.	{0} licenses are requested.
{0} users are chosen to be licensed.	{0} users are chosen to be licensed.
Move {0} users to the {1} list in order to proceed.	Move {0} users to the '{1}' list in order to proceed.
I accept	I accept
the license agreement	the license agreement
upgradeNotesURL	http://field.dalux.com/manual/newversion.htm
Only an IT Administrator can upgrade a project.	Only an IT Administrator can upgrade a project.
Contact IT Administrator	Contact IT Administrator
Select timezone	Select timezone
Fixed montly price	Fixed montly price
